cat_id;name
4194;U10 Jiu-Jitsu Men -38 kg
4195;U10 Jiu-Jitsu Men -42 kg
4196;U10 Jiu-Jitsu Men p42 kg
4953;U10 Jiu-Jitsu Women -25 kg
4955;U10 Jiu-Jitsu Women -32 kg
4957;U10 Jiu-Jitsu Women -40 kg
4958;U10 Jiu-Jitsu Women p40 kg
4206;U10 Ju-Jitsu Duo Women
16728;U10 Ju-Jitsu Fighting Women -32 kg
16730;U10 Ju-Jitsu Fighting Women -40 kg
16740;U10 Show Men
16741;U10 Show Mixed
16739;U10 Show Women
747;U12 Duo Men
4244;U12 Duo Men
749;U12 Duo Mixed
4246;U12 Duo Mixed
4292;U12 Duo Mixed
4295;U12 Duo Mixed
748;U12 Duo Women
4245;U12 Duo Women
4208;U12 Fighting Men -24 kg
4209;U12 Fighting Men -27 kg
4210;U12 Fighting Men -30 kg
16775;U12 Fighting Men -30 kg
920;U12 Fighting Men -34 kg
924;U12 Fighting Men -34 kg
4211;U12 Fighting Men -34 kg
673;U12 Fighting Men -38 kg
4212;U12 Fighting Men -38 kg
674;U12 Fighting Men -42 kg
4213;U12 Fighting Men -42 kg
675;U12 Fighting Men -46 kg
4214;U12 Fighting Men -46 kg
4214111; U12 Fighting Men p46 kg
676;U12 Fighting Men -50 kg
4215;U12 Fighting Men -50 kg
676111;U12 Fighting Men -52 kg
676112;U12 Fighting Men -60 kg
678;U12 Fighting Men p50 kg
4216;U12 Fighting Men p50 kg
4218;U12 Fighting Women -25 kg
4219;U12 Fighting Women -28 kg
922;U12 Fighting Women -32 kg
4220;U12 Fighting Women -32 kg
682;U12 Fighting Women -36 kg
4221;U12 Fighting Women -36 kg
683;U12 Fighting Women -40 kg
4222;U12 Fighting Women -40 kg
684;U12 Fighting Women -44 kg
4223;U12 Fighting Women -44 kg
685;U12 Fighting Women -48 kg
4224;U12 Fighting Women -48 kg
686;U12 Fighting Women p48 kg
4225;U12 Fighting Women p48 kg
4226;U12 Jiu-Jitsu Men -24 kg
4227;U12 Jiu-Jitsu Men -27 kg
4228;U12 Jiu-Jitsu Men -30 kg
4229;U12 Jiu-Jitsu Men -34 kg
4230;U12 Jiu-Jitsu Men -38 kg
4231;U12 Jiu-Jitsu Men -42 kg
4232;U12 Jiu-Jitsu Men -46 kg
4233;U12 Jiu-Jitsu Men -50 kg
4234;U12 Jiu-Jitsu Men p50 kg
4236;U12 Jiu-Jitsu Women -25 kg
4237;U12 Jiu-Jitsu Women -28 kg
4238;U12 Jiu-Jitsu Women -32 kg
4239;U12 Jiu-Jitsu Women -36 kg
4240;U12 Jiu-Jitsu Women -40 kg
4241;U12 Jiu-Jitsu Women -44 kg
4242;U12 Jiu-Jitsu Women -48 kg
4243;U12 Jiu-Jitsu Women p48 kg
4247;U12 Show Men
923;U12 Show Mixed
4249;U12 Show Mixed
4248;U12 Show Women
4290;U14 Duo Men
14474;U14 Duo Mixed
4291;U14 Duo Women
4294;U14 Duo Women
4250;U14 Fighting Men -30 kg 
21323;U14 Fighting Men -32 kg
4251;U14 Fighting Men -34 kg
21324;U14 Fighting Men -36 kg
4252;U14 Fighting Men -38 kg
4950;U14 Fighting Men -38 kg
11546;U14 Fighting Men -40 kg
4253;U14 Fighting Men -42 kg
4949;U14 Fighting Men -42 kg
21325;U14 Fighting Men -44 kg
4254;U14 Fighting Men -46 kg
4948;U14 Fighting Men -46 kg
21326;U14 Fighting Men -48 kg
4255;U14 Fighting Men -50 kg
4256;U14 Fighting Men -55 kg
21328;U14 Fighting Men -56 kg
4257;U14 Fighting Men -60 kg
21329;U14 Fighting Men -62 kg
21330;U14 Fighting Men -62 kg
4258;U14 Fighting Men -66 kg
4259;U14 Fighting Men p66 kg
4261;U14 Fighting Women -28 kg
4262;U14 Fighting Women -32 kg
4263;U14 Fighting Women -36 kg
4264;U14 Fighting Women -40 kg
4265;U14 Fighting Women -44 kg
4266;U14 Fighting Women -48 kg
4267;U14 Fighting Women -52 kg
4268;U14 Fighting Women -57 kg
4269;U14 Fighting Women p57 kg
4270;U14 Jiu-Jitsu Men -30 kg 
7095;U14 Jiu-Jitsu Men -34 kg
4271;U14 Jiu-Jitsu Men -34 kg 
4945;U14 Jiu-Jitsu Men -38 kg
21343;U14 Jiu-Jitsu Men -40 kg
4273;U14 Jiu-Jitsu Men -41 kg
4946;U14 Jiu-Jitsu Men -42 kg
4947;U14 Jiu-Jitsu Men -46 kg
21345;U14 Jiu-Jitsu Men -48 kg
4275;U14 Jiu-Jitsu Men -50 kg
21346;U14 Jiu-Jitsu Men -52 kg
4276;U14 Jiu-Jitsu Men -55 kg
4277;U14 Jiu-Jitsu Men -60 kg
21348;U14 Jiu-Jitsu Men -62 kg
4278;U14 Jiu-Jitsu Men -66 kg
7096;U14 Jiu-Jitsu Men -73 kg
4279;U14 Jiu-Jitsu Men p66 kg
4281;U14 Jiu-Jitsu Women -28 kg 
4282;U14 Jiu-Jitsu Women -30 kg 
4283;U14 Jiu-Jitsu Women -36 kg
6860;U14 Jiu-Jitsu Women -36 kg
4284;U14 Jiu-Jitsu Women -40 kg
4285;U14 Jiu-Jitsu Women -44 kg
4286;U14 Jiu-Jitsu Women -48 kg
4287;U14 Jiu-Jitsu Women -52 kg
4288;U14 Jiu-Jitsu Women -57 kg
7093;U14 Jiu-Jitsu Women -57 kg
4289;U14 Jiu-Jitsu Women p57 kg
4293;U14 Show Men
781;U15 Duo Men
780;U15 Duo Mixed
782;U15 Duo Women
620;U15 Fighting Men -34 kg
621;U15 Fighting Men -37 kg
622;U15 Fighting Men -41 kg
623;U15 Fighting Men -45 kg
624;U15 Fighting Men -50 kg
625;U15 Fighting Men -55 kg
626;U15 Fighting Men -60 kg
627;U15 Fighting Men -66 kg
628;U15 Fighting Men p66 kg
629;U15 Fighting Women -32 kg
630;U15 Fighting Women -36 kg
631;U15 Fighting Women -40 kg
632;U15 Fighting Women -44 kg
633;U15 Fighting Women -48 kg
634;U15 Fighting Women -52 kg
635;U15 Fighting Women -57 kg
636;U15 Fighting Women -63 kg
637;U15 Fighting Women p63 kg
647;U15 Jiu-Jitsu Men -34 kg
648;U15 Jiu-Jitsu Men -37 kg
649;U15 Jiu-Jitsu Men -41 kg
650;U15 Jiu-Jitsu Men -45 kg
651;U15 Jiu-Jitsu Men -50 kg
652;U15 Jiu-Jitsu Men -55 kg
653;U15 Jiu-Jitsu Men -60 kg
654;U15 Jiu-Jitsu Men -66 kg
655;U15 Jiu-Jitsu Men p66 kg
638;U15 Jiu-Jitsu Women -32 kg
639;U15 Jiu-Jitsu Women -36 kg
640;U15 Jiu-Jitsu Women -40 kg
641;U15 Jiu-Jitsu Women -44 kg
